RAM,Bağlantı Girişleri:,Bluetooth,CihazAgirligi,DokunmatikEkran,EkranBoyutu,GCMT,EkranKartiHafizasi,EkranKartiTipi,EkranKarti,EkranOzelligi,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,IslemciFrekansi,GHz,IslemciModeli,IslemciNesli,IslemciTipi,IslemciCekirdekSayisi,IsletimSistemi,SarJliKullanimSüresi,url,price
32,HDMI,0.0,0.0,0.0,"15,6 inç",1.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,512 GB,,HD Ready (HD),1366 x 768,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,6.349
32,HDMI,0.0,0.0,0.0,14 inç,1.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,Var,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,1.0,Ofis - İş,0.0,9.699
32,HDMI,0.0,0.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,512 GB,0.0,Ofis - İş,0.0,"6.663,25"
32,HDMI,1.0,0.0,1.0,14 inç,0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,8 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,13.479
32,HDMI,0.0,0.0,0.0,"15,6 inç",0.0,2 GB,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,12 GB,Gri,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,7.299
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Beyaz,256 GB,,,1366 x 768,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,4.449
32,HDMI,0.0,0.0,0.0,"15,6 inç",0.0,4 GB ve altı,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Siyah,1 TB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,13.999
32,HDMI,0.0,1.0,0.0,"17,3 inç",0.0,4 GB,0.0,0.0,1.0,Distribütör Garantili,,,,2 TB,Q Türkçe,Oyun,Yok,,,32 GB,Gri,1 TB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,2 TB,0.0,Oyun,0.0,"17.692,59"
32,HDMI,0.0,1.0,0.0,"15,6 inç",1.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,4 GB,Siyah,256 GB,,,1366 x 768,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ev - Okul,0.0,"4.581,30"
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,4 GB,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,Yok,,,8 GB,Siyah,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Oyun,0.0,10.849
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,Yok,Numerik Tuşlu Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,"10.641,66"
